Samples	Day_length	Temperature	Secchi	Salinity	Chla_total	Chla_3um	PO4	NH4	NO2	NO3	Si	BP_FC1.55	PNF_Micro	PNF2_5um_Micro	PNF_5um_Micro	Cryptomonas	Micromonas	HNF_Micro	HNF2_5um_Micro	HNF_5um_Micro	LNA	HNA	Prochlorococcus_FC	Peuk1	Peuk2	year	month	day	season	Bacteria_joint	Synechococcus
BL110615	15.18	21	13.5	37.7	0.54	0.18	0.182	0.629	0.102	1.007	1.854	2.96	3070	2739	331	47	567	1967	1967	0	NA	NA	1337	2126	272	2011	6	15	summer	952492	11199
BL110704	15.12	22.4	16	37.83	0.2	0.1	0.076	0.029	0.01	0.423	0.404	1.93	1453	1434	19	21	208	1634	1634	0	508000	565000	3872	1360	252	2011	7	5	summer	1070000	14259
BL110802	14.4	22.88	15	37.82	0.6	0.38	0.105	0.687	0.038	0.8	1.806	2.36	7954	7204	41	709	5644	534	534	0	NA	NA	NA	NA	NA	2011	8	2	summer	966731	27965
BL110913	12.64	23	19	NA	0.32	0.19	0.092	0.095	0.004	0.493	0.9	3.51	5554	5428	16	110	4276	1214	1196	19	370000	452000	16651	1743	58	2011	9	13	autumn	822000	31135
BL111010	11.4	20.64	14	38.09	0.37	0.2	0.083	0.026	0.006	0.511	1.02	0.29	2029	1959	35	35	402	1944	1924	19	618000	468000	12362	820	718	2011	10	10	autumn	1090000	25531
BL111129	9.46	16.76	8.5	37.21	2.88	0.36	0.101	0.052	0.06	0.546	0.303	6.21	4586	3867	292	428	2584	1623	1623	0	475000	855000	8968	3276	579	2011	11	29	winter	1330000	12975
BL111219	9.15	15.46	14	38.05	0.89	0.28	0.074	0.027	0.106	0.54	0.845	0.33	7881	7787	63	32	6619	576	561	15	393000	444000	6107	2147	658	2011	12	19	winter	836000	4338
BL120110	9.35	14.39	14	38.09	0.69	0.36	0.078	1.389	0.263	0.188	1.218	0.29	7681	7505	53	124	5986	560	560	0	294000	297000	9095	2683	69	2012	1	10	winter	591000	9742
BL120214	10.54	12.24	15	38.24	0.69	0.35	0.13	0.39	0.222	2.177	2.492	0.6	7139	7043	19	77	5580	456	456	0	265000	172000	4651	4692	316	2012	2	14	winter	437000	4940
BL120313	11.81	13.18	18.5	38.28	0.67	0.36	0.103	0.666	0.259	2.384	2.451	0.13	14523	14377	73	73	12764	792	792	0	222000	271000	2422	7334	949	2012	3	13	spring	492000	4087
BL120411	13.16	13.82	16	38.22	1.21	0.85	0.035	0.574	0.092	0.166	1.724	0.59	14379	13684	0	695	10263	2117	2078	38	751000	573000	5160	8875	1802	2012	4	11	spring	1320000	71080
BL120518	14.63	16.8	16	38.24	0.36	0.04	0.036	0.913	0.085	0.114	0.502	0.94	2040	1982	0	58	885	805	766	39	379000	316000	1555	619	647	2012	5	11	spring	695000	3550
BL120620	15.2	20.06	16	38.23	0.76	0.21	0.042	0.909	0.042	0.009	0.513	1.47	3751	3678	49	24	585	2718	2622	96	513000	486000	1101	1018	399	2012	6	20	summer	998000	23556
BL120703	15.13	22.01	16	38.07	0.26	0.12	0.053	0.531	0.061	0.064	0.508	2.25	2222	2117	0	105	332	1751	1751	0	446000	392000	1802	784	688	2012	7	3	summer	838000	25620
BL120807	14.18	25.35	20	38.14	0.19	0.07	0.087	1.579	0.04	0.258	0.796	1.23	1360	1311	17	33	149	989	953	35	493000	281000	963	482	303	2012	8	7	summer	774000	36627
BL120913	12.59	22.46	19	38.16	0.16	0.08	0.027	0.611	0.016	0.069	1.052	13.56	1254	1220	0	34	155	881	881	0	221000	381000	7884	358	399	2012	9	13	autumn	602000	21272
BL121009	11.4	18.31	18	37.91	0.34	0.16	0.026	0.832	0.036	0.038	0.932	5.18	3229	3165	0	64	1433	859	859	0	394000	461000	20900	1624	592	2012	10	9	autumn	855000	32775
BL121106	10.18328661	16.66	8	38.04	0.46	0.26	0.221	1.702	0.122	3.523	2.036	1.91	7397	7263	0	134	5003	1020	1020	0	405000	535000	15782	3165	867	2012	11	6	winter	940000	23996
BL121211	9.210932501	14.25	13	38	0.48	0.29	0.083	0.861	0.319	1.36	2.023	2.19	8799	8521	46	232	7037	532	513	18	596000	507000	14268	6013	482	2012	12	11	winter	1100000	14681
BL130115	9.466265572	13.27	17	38.1	0.89	0.43	0.124	1.174	0.401	1.212	1.564	0.46	12856	12687	17	152	11168	647	630	17	342000	375000	5963	7636	571	2013	1	15	winter	718000	10628
BL130206	10.20611037	12.76	12	38.15	0.72	0.37	0.107	5.897	0.698	1.728	1.464	0.18	19835	19560	39	236	18088	250	219	31	275000	359000	3913	13069	683	2013	2	6	winter	634000	13408
BL130312	11.71698304	12.78	9	38.14	1.08	0.42	0.164	0.177	0.219	3.289	2.475	1.35	21936	21753	55	128	20397	696	681	15	338000	459000	2806	8592	1278	2013	3	12	spring	797000	11833
BL130417	13.38122371	14.51	11	37.87	0.49	0.29	0.084	0.576	0.175	0.646	1.356	4.08	3127	2865	0	262	328	1540	1540	0	668000	773000	885	1818	639	2013	4	17	spring	1440000	79111
BL130507	14.21220887	14.96	19	37.73	0.75	0.16	0.097	0.669	0.213	1.374	1.451	2.4	8415	7089	1046	280	6696	210	210	0	403000	487000	127	3822	591	2013	5	7	spring	890000	13200
BL130604	15.03462517	16.92	20	37.62	0.31	0.13	0.103	1.962	0.168	0.34	1.249	1.53	1998	1943	19	37	592	847	828	19	387000	365000	147	643	210	2013	6	4	spring	751000	41374
BL130709	14.97620219	21.61	14	37.87	0.5	0.17	0.088	0.853	0.109	0.134	0.456	1.87	3604	3121	312	171	52	1102	1102	0	289000	506000	36	722	917	2013	7	9	summer	794000	26064
BL130801	14.43787618	23.58	17	37.81	0.21	0.1	0.068	3.483	0.221	0.239	0.459	0.76	2224	1882	43	299	107	1036	1036	0	303000	346000	32	1004	135	2013	8	1	summer	648000	24313
BL130917	12.45581855	23.41	20	38.12	0.31	0.15	0.082	0.125	0.061	0.316	0.712	4.02	1693	1532	107	53	232	962	962	0	443000	531000	6171	1024	107	2013	9	17	autumn	974000	41028
BL131015	11.16777513	21.4	20	38.05	0.28	0.16	0.077	0.433	0.099	0.218	0.816	1.39	2041	1908	83	50	116	802	786	16	522000	385000	5382	818	202	2013	10	15	autumn	906000	30771
BL131105	10.26268825	18.06	18	38.04	0.42	0.18	0.066	0.316	0.11	0.316	0.81	0.77	1767	1715	0	52	297	712	712	0	595000	528000	11847	417	258	2013	11	5	autumn	1120000	17937
BL131204	9.179683856	14.42	8.5	38.13	0.6	0.3	0.173	0.474	0.375	1.53	1.878	0.62	6146	6080	33	33	5234	228	228	0	454000	445000	9096	4878	187	2013	12	15	winter	899000	11004
BL140114	9.441090391	14.28	15	38.19	1.02	0.66	0.071	0.448	0.157	0.772	0.905	0.97	19389	19065	15	308	17510	770	751	19	418000	487000	35996	11259	242	2014	1	14	winter	905000	25896
BL140211	10.41078106	13.4	8	NA	0.91	0.39	0.097	0.836	0.269	1.043	0.973	1.05	13708	13539	92	77	12507	683	665	18	489000	368000	5269	12252	1526	2014	2	11	winter	857000	16761
